id,name,latitude,longitude,photo_reference,place_id,price_level,rating,category
21d25d9f1970eb0d799c47e66fe38f3821fa991c,Domino's Pizza,41.3591414,2.0714009,CmRaAAAAJkaiIedlJpM3zn8b027-V7q4qbAEYp11UFyQilHyot7ilK4xqx-xkpOR47UT6CJ4-zN18fEWrOogMdHnwgOUnPMhoRIzXKPgVNoxOTg1pL8ITNu6Ik5Wcv2GJTTHh0ynEhAIXORkP4dkORWXrPRR65W6GhSKDYf_daWzEKjPCVln9K3fA0UDcg,ChIJy89TkF2ZpBIRPIPQIIZ_Qns,1,3.6,Otro
b541aaa5f104d141590a29f8fd6136980056e275,Condis,41.35779469999999,2.0738234,CmRaAAAAZ7upomWkKzag0Wm8R8pgS6A672lmnUjsZcUTSwzgisY8lQ31-dTPaTPXCO3qjIXjV_i8bKzb1vr6RWoiz3d51sHLJU36CZMdEEhhEl2GGPLZKgBO-WWGfnWUQIG7upwCEhAPo0d5HAAX8Sn67NMb0awvGhShTX6S24C4lg0S988xjfjIec0TpA,ChIJZ5ZxgFyZpBIR3Bp7K253SJQ,Missing: key_name,3.6,Otro
81e9c333a9526521348348fccd75d3872559bccb,La Nostra Llar,41.35495,2.070298,CmRaAAAA5gWw5d9VkqE64xrSDNrAwqW5r-SM7-DFTysoSHq_tDE6MsFQ2evBwyh5SD1WR_HE2oRP_taFW0EGyYVRS3ZMRNLjlcoPugLlQAW1F0ks9C__9KpcQrEOPkkBdNwPAm9pEhBSon75snatc-jmdv-2xqKkGhSu1_-Wzptwn4vqT1oCZ-tyXWKlsQ,ChIJhQBhnlmZpBIRvoaAwUUiy6U,Missing: key_name,4.3,Otro
bca22d48bfbe69a952d8877599b775faa5908f91,La Capital,41.3552336,2.0718193,CmRaAAAAA85vFq1iEOB0dtffbNetIF8r_viDLfQqIx5dqHJQYF1SSgPJ2XuBeb5XmyjXSPiXUwZt6KSZiAdVCD-Fqq9lDi9weh6IdNLEWlxTFepV4zJRFtrkMBg0c4hMixfT5OdgEhCtuig_WXIi98vCcj1KSdPOGhQ7qJYJIFOPjOa2qbZydh2r59Exkw,ChIJN2eh01uZpBIRdtpgKACq6Wc,1,4.1,Otro
ab78ec75a57ebb0aa6201b248d8b205bb6e7d827,TALLER's Bar Cafeteria,41.35402089999999,2.072842499999999,CmRaAAAAK9YDvA6xw8CAAs3BcwfVbb2kSSKrd2q6Raudzk63RaSLKL1EM2il7QMV-X7ViwuXQv3gxuzaJppet5QUmx3AqHDb2S2aD8dy6hGkFQjGz8XQsyIcgpVLrPu1LfUQM4Z6EhBbCCcz7MwsrG6OlussFsViGhQxL63zKZx8tUyHYxL95p4ui2NvUg,ChIJWeQXQVqZpBIRFuIO3PBBhLY,1,3.9,Otro
d36a262a8ac733231f01706b2056c0f1e67ca84f,TALLER's,41.35402089999999,2.072842499999999,CmRaAAAAADl-JtIaXyMs4BPdX4ZXrReUt7ikHaOOQWiY_vDlRvVhegPkCLD6ObIyQTOkFJ2jRJqCLJl_2oBrCXRqM8i9hZurq6Irdj1lHyEo0XVpL6QICGOifC3tUnmhxMWM2av5EhArE437GzvUzJ1jbqtxILevGhRUSpP05Lbtj4ue8C97CHT0MBoJrA,ChIJqxEOQVqZpBIRw1IYFfIo9Cg,Missing: key_name,3.8,Otro
72d38b2735007d77c68280f1cd88cf040dc1cf1e,FUSIÓ,41.352926,2.071598,CmRaAAAAR-bK_gb6RZFsjyQOtKUJnJ-5Fi0Eu11jk9V9foCoipuh3tnpAcAXN0VvHOwbtaDwqcmUzyH-xIp-A0oizkind_kekeaXs6DKKct3D4G-ker8bT5Izk1nMyLYnefCrUF9EhAS5gDd4-0FZpkKAhJbhoayGhSbAoi0RanRVxhkfROYkE-E0ZnfzQ,ChIJ8f4lAlqZpBIRO1BZK3vK6uI,2,4.5,Otro
b6274cc13c224e7e63115c8fa3d7f2054e9b07ff,Kaiseki,41.352629,2.071886699999999,CmRaAAAA_q0v9-KE9AujUGYPiwH79UUEAfGM2yCRB1jVwW-4AhP_KdQftQQIfFcTSUWAoTEic1JKPVXcTynjeh45umcHDsFowiCRoAYZqftjULDTn-CbtFsg5sBNOOFtqyTeAQarEhC1e-QlMp1xc45qUZD4d3I8GhTXF1Ufk9tyCbAG0BgluYrXDLamEA,ChIJSydsB1qZpBIRIi-qO8vjCjY,1,4.2,Otro
a2c9acf14c7347648796f5f8897012b6899d203f,Telepizza,41.3560801,2.0666684,CmRaAAAA9HBS4pv9XXUoFMM4YUptO627iRkluImmG3ilBspjiNaLDLfNLYIxi7S5RDHpHCZuMvw4BUEvJJtx3gC0q61XkbWo7MMn8aeWd71JeeTKDq9zvUMMPn9e_XSXkPGaY1eyEhCJKOhWrFHbO3ucew__odpBGhTcMK551DYKlAiYGWlCya3iCYoPFw,ChIJT5rcdeKbpBIRPs3kYAScTU4,1,3.6,Otro
23f24a27bd04a8f127578ad3594aa2b8ffe9eda7,McDonald's,41.3575791,2.067506899999999,CmRaAAAAwWCn1ejGTKEyGIaIJs1atkBfYuQXRFTUsDhBzjOBCFlxmoPjEY2XSw7CfVx9yWvqRlL--KwU58LadNuqVf9lYOq2tiCNz83B_cji4DY2HneWDsG6hX5tZDaDLSRNULmeEhALOj8RYD8F76k-j1BEeqUpGhQR3Zlq8d0FzZrbPJDis6saWOURkQ,ChIJ85OIyliZpBIRunL2GhkwCiA,1,3.8,Otro
